LOCATION ACCOUNT #,names,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,zip,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0002990781-0001-5,CORALIE WHITCOMB,,2669   MEDLOW AVENUE,LOS ANGELES,90065-4616,90012,2669 MEDLOW 90065-4616,4024   KAREN LYNN DRIVE,GLENDALE,91206-1222,531100,Lessors of real estate (including mini warehouses & self-storage units),14,6/10/2017,,"(34.1269, -118.2247)"
0000000547-0001-6,NEW CITY LIFE FOUNDATION /C,,1201 W MANCHESTER AVENUE,LOS ANGELES,90044-2237,90013,1201 MANCHESTER 90044-2237,3533 W 58TH PLACE,LOS ANGELES,90043-3003,561500,Travel arrangement & reservation services,8,3/1/2000,,
0000000590-0001-2,LOS ANGELES URBAN LEAGUE HEAD START STATE PRESCHOOL /C,,10611 S HOOVER STREET,LOS ANGELES,90044-4443,90014,10611 HOOVER 90044-4443,7226 S FIGUEROA STREET,LOS ANGELES,90003-1721,624410,Child day care services,8,1/20/1995,,
0000000699-0001-1,THE KABBALAH CENTRE INTERNATIONAL INC,,1220 S SHENANDOAH STREET,LOS ANGELES,90035-2238,90015,1220 SHENANDOAH 90035-2238,1062 S ROBERTSON BLVD,LOS ANGELES,90035-1505,531100,Lessors of real estate (including mini warehouses & self-storage units),5,2/1/2000,,
0000000726-0001-1,JOYCE WILLING,,10510 ODESSA AVENUE,GRANADA HILLS,91344-6721,90016,10510 ODESSA 91344-6721,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",12,1/1/1999,,
0003008665-0001-4,JOSE DEJESUS SOLTERO,SERVICES SOLUTIOINS PAINTING & CLEANING,2716  1/2   LEAFDALE AVENUE,EL MONTE,91732-3422,90017,2716 LEAFDALE 91732-3422,,,,238990,All other specialty trade contractors,0,9/22/2017,,"(34.0569, -118.0208)"
0000001168-0001-2,THE SKID ROW HOUSING TRUST,,114 E 5TH STREET,LOS ANGELES,90013-1416,90018,114 5TH 90013-1416,1317 E 7TH STREET,LOS ANGELES,90021-1101,561300,Employment services,9,10/1/1996,,
0000001192-0001-6,THE PUBLIC HEALTH FOUNDATION OF LOS ANGELES COUNTY INC,PUBLIC HEALTH FOUNDATION WIC PROGRAM,1836 W IMPERIAL HIGHWAY,LOS ANGELES,90047-5020,90019,1836 IMPERIAL 90047-5020,12781 SCHABARUM AVENUE,IRWINDALE,91706-6807,621510,Medical & diagnostic laboratories,0,7/17/2000,,
0000001271-0001-2,ST ANTHONY MEDICAL CENTER,,837 W IMPERIAL HIGHWAY,LOS ANGELES,90044-4110,90020,837 IMPERIAL 90044-4110,,,,621400,Outpatient  care centers,15,4/1/2000,,
0000014665-0001-8,GOLDEN VIEW PROPERTIES INC,,13561 DESMOND STREET,PACOIMA,91331-2316,90021,13561 DESMOND 91331-2316,,,,,,7,3/23/2000,,
0000001333-0001-5,YIDDISHKAYT LOS ANGELES,,3780 WILSHIRE BLVD #910,LOS ANGELES,90010-2840,90022,3780 WILSHIRE 90010-2840,,,,611000,"Educational services (including schools, colleges, & universities)",10,7/21/1998,,
0000001345-0001-8,S RICHARD FRIESEN,BIRDBRAIN ARTS,16600 HAMLIN STREET,LAKE BALBOA,91406-5615,90023,16600 HAMLIN 91406-5615,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",6,1/1/1999,,
0000001360-0001-2,SAN FERNANDO VALLEY COMMUNITY MENTAL HEALTH CENTER INC,FAMILY LINKS,11565 LAUREL CANYON BLVD #100 3,SAN FERNANDO,91340-4168,90024,11565 LAUREL CANYON 91340-4168,6931 VAN NUYS BLVD #3 FL,VAN NUYS,91405-3937,621400,Outpatient  care centers,0,7/1/2000,,
0000001364-0001-1,WET PAINT PRODUCTIONS LLC,WET PAINT,5230 KESTER AVENUE #4,SHERMAN OAKS,91411-4019,90025,5230 KESTER 91411-4019,,,,711300,"Promoters of performing arts, sports, & similar events",2,1/1/2000,,
0000001428-0001-2,JESSICA STRAUS,,8117 CREIGHTON AVENUE,LOS ANGELES,90045-2709,90026,8117 CREIGHTON 90045-2709,,,,561500,Travel arrangement & reservation services,11,1/1/1999,,
0000001540-0001-1,CALIFORNIA CHILDREN'S ACADEMY,,133 N SUNOL DRIVE,LOS ANGELES,90063-1429,90027,133 SUNOL 90063-1429,,,,624410,Child day care services,0,12/1/2000,,
0000001543-0001-5,CALIFORNIA CHILDREN'S ACADEMY,,7817 LANKERSHIM BLVD,NORTH HOLLYWOOD,91605-2523,90028,7817 LANKERSHIM 91605-2523,,,,624410,Child day care services,6,12/1/1991,,
0000002144-0001-4,LAS PALMAS FOUNDATION,,1535 N FORMOSA AVENUE,LOS ANGELES,90046-3601,90029,1535 FORMOSA 90046-3601,,,,561110,Office administrative services,4,8/19/2001,,
0000001576-0001-0,ODILIA TRUJILLO,,122 N MARIPOSA AVENUE #8,LOS ANGELES,90004-4538,90031,122 MARIPOSA 90004,,,,561500,Travel arrangement & reservation services,13,2/10/2002,,
0000001581-0001-1,DARIUSH DIVSALAR,,1159   LAS PULGAS PLACE,PACIFIC PALISADES,90272-2440,90032,1159 LAS PULGAS 90272-2440,,,,561500,Travel arrangement & reservation services,11,11/15/1999,,
0002887755-0001-1,CHELSEA M NORRIS,LAW OFFICE OF CHELSEA M. NORRIS,233   WILSHIRE BLVD   UNIT #400,SANTA MONICA,90401-1214,90033,233 WILSHIRE 90401-1214,12121   WILSHIRE BLVD   SUITE #1325,LOS ANGELES,90025-1029,541100,Legal services,0,1/1/2016,,"(34.0185, -118.4999)"
0000001598-0001-6,ATLANTIC RECOVERY SERVICES,,2503 W 7TH STREET,LOS ANGELES,90057-3801,90034,2503 7TH 90057-3801,944 PACIFIC AVENUE,LONG BEACH,90813-4228,621400,Outpatient  care centers,1,1/22/2001,,
0000001632-0001-5,ATLANTIC RECOVERY SERVICES,,1444 W Q STREET,WILMINGTON,90744-1971,90035,1444 Q 90744-1971,944 PACIFIC AVENUE,LONG BEACH,90813-4228,621400,Outpatient  care centers,15,1/22/2001,,
0000001727-0001-2,TANG FUNG CHO,,378 E DEL MAR BLVD #9,PASADENA,91101-2781,90036,378 DEL MAR 91101-2781,,,,,,0,8/28/2003,,
0000001787-0001-4,NATIONAL HOUSING DEVELOPMENT CORPORATION,,6400 WEST BLVD,LOS ANGELES,90043-3866,90037,6400 WEST 90043-3866,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),8,11/12/1997,,
0000034890-0001-5,LURA D BALL,,5308 11TH AVENUE,LOS ANGELES,90043-4818,90038,5308 11TH 90043-4818,,,,,,8,8/1/1992,,
0000001791-0001-1,JULIE CONN,SMART DIGITAL TELEVISION NETWORKS INC,106 CENTRAL AVENUE,SALINAS,93901-2630,90039,106 CENTRAL 93901-2630,10701 WILSHIRE BLVD #2002,LOS ANGELES,90024-4445,561500,Travel arrangement & reservation services,0,1/1/1999,,
0000001822-0001-8,WORLD IMPACT /C,,1969 S VERMONT AVENUE,LOS ANGELES,90007-1254,90040,1969 VERMONT 90007-1254,2001 S VERMONT AVENUE,LOS ANGELES,90007-1256,611000,"Educational services (including schools, colleges, & universities)",1,3/26/1993,,
0000001832-0001-1,TARZANA TREATMENT CENTER INC,,7101 BAIRD AVENUE,RESEDA,91335-4150,90041,7101 BAIRD 91335-4150,18646 OXNARD STREET,TARZANA,91356-1411,621399,Offices of all other miscellaneous health practitioners,3,7/24/1989,,
0000002062-0001-4,COMMUNITY DEVELOPEMENT INSTITUTE HEAD START,HEAD START STATE PRESCHOOL,2630 E 7TH STREET,LOS ANGELES,90023-1409,90042,2630 7TH 90023-1409,4905 S VERMONT AVENUE,LOS ANGELES,90037-2943,,,14,1/2/1975,,
0000002115-0001-8,JUN CHEN QUACH CHAN,SEASON TOYS,232 E 4TH STREET,LOS ANGELES,90013-1404,90043,232 4TH 90013-1404,,,,423920,Toy & hobby goods & supplies,9,1/1/1992,,
0000002126-0001-6,ROBIN DOUGLASS SHARP,,3393 BENNETT DRIVE,LOS ANGELES,90068-1703,90044,3393 BENNETT 90068-1703,6710 VARNA AVENUE,VAN NUYS,91401-1219,532290,Other consumer goods rental,4,1/15/2000,,
0000002131-0001-7,DEBORAH SMITH,,4151 ARCH DRIVE #308,STUDIO CITY,91604-3243,90045,4151 ARCH 91604-3243,,,,561500,Travel arrangement & reservation services,2,1/1/2000,,
0000002154-0001-8,SHALOM CENTER FOR T EE OF LIFE,,2975 WILSHIRE BLVD #415,LOS ANGELES,90010-1112,90046,2975 WILSHIRE 90010-1112,,,,611000,"Educational services (including schools, colleges, & universities)",10,5/17/1999,,
0000002347-0001-4,NET US SOLUTION INC,NETSOLUTIONS,3852 BERRYMAN AVENUE,LOS ANGELES,90066-4016,90047,3852 BERRYMAN 90066-4016,,,,516110,Internet publishing & broadcasting,11,1/10/2000,,
0000692422-0002-1,CASA VELA INC,DEL BAJIO TORTILLAS,2710 E CESAR CHAVEZ AVENUE,LOS ANGELES,90033-,90048,2710 CESAR CHAVEZ 90033,POST OFFICE BOX #4230,REDONDO BEACH,90277-1757,238990,All other specialty trade contractors,0,9/19/2017,,"(0, 0)"
0000002697-0001-7,NATAN FABRIC INC,,410 E 9TH STREET,LOS ANGELES,90015-1804,90049,410 9TH 90015,,,,314000,Textile product mills,14,11/1/1999,,
0000002698-0001-1,ROBERT HUGH REDDICK,,3712 ALMERIA STREET,SAN PEDRO,90731-6412,90056,3712 ALMERIA 90731-6412,,,,541510,Computer systems design & related services,15,1/1/1997,,
0000003170-0001-4,RESOURCE MANAGEMENT STRATEGIES INC,,1377 W 7TH STREET,SAN PEDRO,90732-3504,90057,1377 7TH 90732-3504,,,,452000,General merchandise stores,0,11/1/1999,,
0000003175-0001-7,LOUIS C SIMPSON JR MD,LOUIS C SIMPSON,3756 SANTA ROSALIA DRIVE #210,LOS ANGELES,90008-3616,90058,3756 SANTA ROSALIA 90008-3616,4572 DON MILAGRO DRIVE,LOS ANGELES,90008-2834,621111,Offices of physicians (except mental health specialists),8,10/1/1974,,
0000014182-0001-1,DALLAS DORSETT,DALLAS DORSETT STUDIO 44,1924 PINEHURST ROAD,LOS ANGELES,90068-3730,90059,1924 PINEHURST 90068,,,,561300,Employment services,4,5/1/1992,,
0000003498-0001-2,WILLIAM ELKINS,ALLEY,5064 1/2 LANKERSHIM BLVD,N HOLLYWOOD,91601-4225,90061,5064 LANKERSHIM 91601-4225,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),4,10/1/1974,,
0000003518-0001-1,GOLDBERG & GAGE,GOLDBERG & GAGE ATTORNEYS AT LAW,23002 VICTORY BLVD,WOODLAND HILLS,91367-1635,90062,23002 VICTORY 91367-1635,,,,541100,Legal services,3,6/1/1991,,
0003008969-0001-7,JOEL MEDINA,PRESTIGE LIGHTING & ELECTRICAL,25212   STOCKPORT STREET   APARTMENT #185,LAGUNA HILLS,92653-4945,90063,25212 STOCKPORT 92653-4945,,,,235310,Electrical Contractors (1997 NAICS),0,8/15/2017,,"(33.5948, -117.6999)"
0000003573-0001-1,SHERMAN WAY ASSOCIATES LLC,,20451 SHERMAN WAY,CANOGA PARK,91306-3109,90064,20451 SHERMAN 91306-3109,15165 VENTURA BLVD #140,SHERMAN OAKS,91403-3390,531100,Lessors of real estate (including mini warehouses & self-storage units),3,1/1/2000,,
0000003646-0001-1,"ROYALE GRACE INVESTMENT COMPANY, LLC",,8720   BURTON WAY,LOS ANGELES,90048-3810,90065,8720 BURTON 90048-3810,10660 WHITE OAK AVENUE,GRANADA HILLS,91344-5943,531100,Lessors of real estate (including mini warehouses & self-storage units),5,12/24/1998,,
0002982497-0001-0,RMJC INSURANCE SERVICES INC,,1601 S VERMONT AVENUE   SUITE #103,LOS ANGELES,90006-4541,90066,1601 VERMONT 90006-4541,1601 S VERMONT AVENUE   OFFICE #103,LOS ANGELES,90006-4541,524210,Insurance agencies & brokerages,1,3/7/2017,,"(34.044, -118.292)"
0000003830-0001-7,MARUBINI AMERICA CORP,,6075 POPLAR AVENUE #500,MEMPHIS,38119-,90067,6075 POPLAR 38119,,,,115310,Support activities for forestry,0,2/3/1992,,
0000004069-0001-1,MARGARET R BEALL,,4301 AVOCADO STREET,LOS ANGELES,90027-2121,90068,4301 AVOCADO 90027,2721 N LINWOOD STREET,SANTA ANA,92705-6834,531100,Lessors of real estate (including mini warehouses & self-storage units),4,1/18/2000,,
0003007720-0001-8,DANIELLE HALFERTY,,2527   CANYON DRIVE,LOS ANGELES,90068-2415,90069,2527 CANYON 90068,2527   CANYON DRIVE,LOS ANGELES,90068-2415,711510,"Independent artists, writers, & performers",4,9/18/2017,,"(34.1164, -118.3165)"
0000004276-0001-7,HIGHWAY TO SUCCESS FOUNDATION INC,HIP HOP THRIFT SHOP,520 S BURNSIDE AVENUE #9K,LOS ANGELES,90036-3997,90071,520 BURNSIDE 90036-3997,,,,453310,Used merchandise stores,4,8/15/2003,,
0002495059-0001-2,PETER J HARRIS,,4153   MARLTON AVENUE   #3,LOS ANGELES,90008-3525,90073,4153 MARLTON 90008-3525,4153   MARLTON AVENUE   APARTMENT #3,LOS ANGELES,90008-3525,711510,"Independent artists, writers, & performers",10,1/1/1998,,"(34.0101, -118.3416)"
0003007727-0001-0,CARNIVAL LUXE LLC,,234 S FIGUEROA STREET   APARTMENT #1235,LOS ANGELES,90012-2525,90077,234 FIGUEROA 90012-2525,,,,541990,"All other professional, scientific, & technical services",14,12/6/2016,,"(34.0559, -118.2536)"
0000005353-0001-1,PHUONG V TRAN,PHOENIX JEWELRY,21107 1/2 SHERMAN WAY,CANOGA PARK,91303-1679,90079,21107 SHERMAN 91303-1679,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",3,2/14/1992,,
0000176303-0001-1,CALLIOPE BABU-KHAN,,1422 CHAUTAUQUA BLVD,PACIFIC PALISADES,90272-2608,90089,1422 CHAUTAUQUA 90272-2608,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),11,7/1/1978,,"(34.055, -118.5218)"
0002658786-0001-4,THOMAS C SEABAUGH,LAW OFFICE OF THOMAS C SEABAUGH,601 W 5TH STREET   FLOOR #8,LOS ANGELES,90071-2004,90090,601 5TH 90071-2004,,,,,,14,9/26/2017,,"(34.0507, -118.2539)"
0000005468-0001-6,HERRMANN EQUIPMENT INC,,2711 S LILAC AVENUE,BLOOMINGTON,92316-3213,90094,2711 LILAC 92316-3213,,,,444190,Other building materials dealers,0,1/22/1992,,
0000005582-0001-4,HITOSH ONO/KINUKO ONO,SUSHI TIME,8103 1/2 BEVERLY BLVD,LOS ANGELES,90048-4507,90095,8103 BEVERLY 90048-4507,,,,722410,Drinking places (alcoholic beverages),5,7/1/2003,,
0003007383-0001-1,OH FOODS INT'L INC,P.H.O.,5077   LANKERSHIM BLVD   SUITE #D,NORTH HOLLYWOOD,91601-4226,90201,5077 LANKERSHIM 91601-4226,,,,722211,Limited-service eating places,2,9/1/2017,,"(34.1627, -118.374)"
0000005933-0001-3,INDUSTRIAL PARTS DEPOT LLC,,23231 NORMANDIE AVENUE,TORRANCE,90501-5050,90210,23231 NORMANDIE 90501-5050,23223 NORMANDIE AVENUE,TORRANCE,90501-5050,423800,"Machinery, equipment, & supplies",0,10/1/2004,,
0000005966-0001-8,RUMON CORP,,5942 WASHINGTON BLVD,CULVER CITY,90232-7325,90211,5942 WASHINGTON 90232-7325,,,,562000,Waste management & remediation services,0,1/1/1969,,
0000006064-0001-2,ALEXANDRE ROSALES,ALEXANDERS PLUMBING,7925 CORA STREET,SUNLAND,91040-3307,90212,7925 CORA 91040-3307,,,,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",2,3/7/2000,,
0000812249-0001-5,RHODELL GLASCO,,1527 JULIA WAY,RIVERSIDE,92501-1795,90220,1527 JULIA 92501-1795,1527 JULIA WAY,RIVERSIDE,92501-1795,,,0,7/22/2004,,"(34.0077, -117.3754)"
0000381256-0001-5,JACQUELINE DIAMOND MFCC,,13701 RIVERSIDE DRIVE #314,SHERMAN OAKS,91423-2447,90221,13701 RIVERSIDE 91423-2447,,,,621330,Offices of mental health practitioners (except physicians),4,8/23/1996,,"(34.1576, -118.4313)"
0000006380-0001-6,SHELLEY R KRAMER,CREATIVE INDOOR PLANTSCAPING,6841 DUME DRIVE,MALIBU,90265-4224,90222,6841 DUME 90265-4224,,,,561730,Landscaping services,0,9/1/1974,,
0000006469-0001-8,MULTIPLE PLANT SERVICES INC,,795 E DEBRA LANE,ANAHEIM,92805-6334,90230,795 DEBRA 92805-6334,,,,,,0,3/3/1992,,
0003008452-0001-1,SATANIC LEGION FFF,,11815   PIERCE STREET,LAKE VIEW TERRACE,91342-6107,90232,11815 PIERCE 91342,11815   PIERCE STREET,LAKE VIEW TERRACE,91342-6107,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",7,11/6/2017,,"(34.2842, -118.3905)"
0000006671-0001-1,LANSDOWN FILMS INC,LANSDOWN FILMS,15260 VENTURA BLVD #1040,SHERMAN OAKS,91403-5345,90240,15260 VENTURA 91403-5345,,,,711300,"Promoters of performing arts, sports, & similar events",5,12/1/1991,,
0000006734-0001-9,FRIENDS OF JAPAN /C,,1469 S NORTON AVENUE,LOS ANGELES,90019-4334,90241,1469 NORTON 90019-4334,,,,561300,Employment services,10,1/1/1989,,
0000006742-0001-3,CITY OF LOS ANGELS HOSPICE FOUNDATION,,1085 MANZANITA STREET,LOS ANGELES,90029-3011,90242,1085 MANZANITA 90029-3011,1302 N LAS PALMAS AVENUE,LOS ANGELES,90028-7705,453310,Used merchandise stores,13,12/1/1991,,
0000006760-0001-1,COMPREHENSIVE CHILD DEVELOPMENT/C,,1435 W 7TH STREET,SAN PEDRO,90732-3506,90245,1435 7TH 90732-3506,2474 PACIFIC AVENUE,LONG BEACH,90806-2902,624410,Child day care services,15,10/1/1991,,
0000006775-0001-8,"HUGH E/LINDA B JORDAN,FAMILY TRUST",,1251 W REDONDO BEACH BLVD #1,GARDENA,90247-3412,90247,1251 REDONDO BEACH 90247-3412,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),0,1/1/1986,,
0000006892-0001-0,WALTER DE PAZ,WALTER'S PIANO REBUILDING,831   E 61ST STREET #A,LOS ANGELES,90001-1033,90248,831 61ST 90001-1033,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",9,4/1/2000,,
0000006928-0001-0,JOSE LADISLAO HERNANDEZ,ROGELIO'S BARBER SHOP,1152 VENICE BLVD,LOS ANGELES,90015-3214,90249,1152 VENICE 90015-3214,255 N AVENUE 49,LOS ANGELES,90042-3801,812111,Barber shops,1,1/2/1999,,
0002511193-0001-3,5224 COLDWATER CANYON LLC,,444 S FLOWER STREET UNIT #1360,LOS ANGELES,90071-2914,90250,444 FLOWER 90071-2914,707   WILSHIRE BLVD   #E2818-197,LOS ANGELES,90017-3501,,,9,12/31/2011,,"(34.0522, -118.2554)"
0003007685-0001-4,ALIN MEADE LANDSCAPE INC,ALIN MEADE LANDSCAPE,18503   OLDENBURG LANE,GRANADA HILLS,91344-2022,90254,18503 OLDENBURG 91344-2022,,,,541320,Landscape architecture services,12,8/1/2017,,"(34.2948, -118.5352)"
0003009130-0001-7,MARIBETH GALLION,,2038   HOLLY DRIVE   UNIT #1,HOLLYWOOD,90068-4424,90255,2038 HOLLY 90068-4424,,,,812990,All other personal services,4,1/1/2015,,"(34.1086, -118.3294)"
0003002830-0001-3,GUSTAVO HERNANDEZ RODRIGUEZ,LIBRES VALET PARKING SERVICE,915   CRENSHAW BLVD,LOS ANGELES,90019-1938,90260,915 CRENSHAW 90019-1938,724 S MARIPOSA AVENUE   APARTMENT #407,LOS ANGELES,90005-2027,488000,Support activities for transportation (including motor vehicle towing),4,8/21/2017,,"(34.056, -118.3227)"
0000007944-0001-6,SAMARITAN IMAGING CENTER,SAMARITAN DIAGNOSTIC IMAGING,1245 WILSHIRE BLVD #2NDFL,LOS ANGELES,90017-4810,90262,1245 WILSHIRE 90017-4810,1245 WILSHIRE BLVD #205,LOS ANGELES,90017-4812,621399,Offices of all other miscellaneous health practitioners,1,8/1/1990,,
0000007947-0001-0,"EMG, ETERNITY MARKETING GROUP INC",ETERNITY MARKETING GROUP,1520 W 45TH STREET,LOS ANGELES,90062-2001,90263,1520 45TH 90062-2001,,,,561720,Janitorial services,8,6/1/2002,,
0000008048-0001-8,PACIFIC ALLOY CASTINGS CO INC,PAC PUMPS,5900 FIRESTONE BLVD,SOUTH GATE,90280-3708,90265,5900 FIRESTONE 90280-3708,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",0,4/1/1992,,
0000008066-0001-6,HENRY TRAN,,1512 S SANTA ANITA AVENUE,ARCADIA,91006-4015,90266,1512 SANTA ANITA 91006-4015,1109 EDANRUTH AVENUE,LA PUENTE,91746-1660,,,0,9/24/2004,,
0000008240-0001-8,PHILIP L ABEL,WESTSIDE IMAGING,2050 S BUNDY DRIVE #268,LOS ANGELES,90025-6128,90270,2050 BUNDY 90025-6128,,,,,,11,1/2/1992,,
0000008291-0001-1,MARIA G NUNEZ / JOSE CRUZ,TENOCHTITLAN SHOE SHINE,305 N SOTO STREET,LOS ANGELES,90033-1862,90272,305 SOTO 90033-1862,4001 N MISSION ROAD #B2,LOS ANGELES,90032-2589,811430,Footwear & leather goods repair,14,2/10/2000,,
0000008308-0001-8,U S DEER ANTLERS IMPORT & EXPORT INC,,1206 S WESTERN AVENUE,LOS ANGELES,90006-3108,90274,1206 WESTERN 90006-3108,,,,446110,Pharmacies & drug stores,10,5/1/1992,,
0000008366-0001-1,SENTAYEHU G SILASSIE,SILASSIE TAX SERVICE,5208 W PICO BLVD SUITE #8,LOS ANGELES,90019-4054,90275,5208 PICO 90019-4054,,,,541213,Tax preparation services,10,2/10/2000,,
0002678954-0001-3,GERMAN LOPEZ LOPEZ,L GROW LANDSCAPE,1240   4TH AVENUE   APARTMENT #102,LOS ANGELES,90019-3432,90277,1240 4TH 90019-3432,,,,561730,Landscaping services,10,1/5/2012,,"(34.0485, -118.3204)"
0002956267-0012-8,ARTISANAL BREWERS COLLECTIVE LLC,CLYDE CURSON'S,5645 W ADAMS BLVD,LOS ANGELES,90016-2525,90278,5645 ADAMS 90016-2525,224 E OLIVE AVENUE   SUITE #202,BURBANK,91502-1239,722110,Full-service restaurants,10,3/1/2018,,"(34.0327, -118.3664)"
0003009017-0001-3,JASON SEROTA,,11969   KIOWA AVENUE   UNIT #6,LOS ANGELES,90049-5909,90280,11969 KIOWA 90049-5909,,,,812990,All other personal services,11,1/1/2014,,"(34.0474, -118.4675)"
0000009256-0001-6,FIELD FAMILY TRUST,TORRANCE GATEWAY ASSOCIATES LLC,19780 PACIFIC GATEWAY DRIVE,TORRANCE,90502-1131,90290,19780 PACIFIC GATEWAY 90502-1131,433 N CAMDEN DRIVE #820,BEVERLY HILLS,90210-4412,531100,Lessors of real estate (including mini warehouses & self-storage units),15,5/26/1998,,
0000009298-0001-0,JEFFREY HAMILTON COLE,,710 W 39TH STREET,SAN PEDRO,90731-6941,90291,710 39TH 90731-6941,13225 NE 47TH STREET,BELLEVUE,98005-1109,531100,Lessors of real estate (including mini warehouses & self-storage units),15,7/12/1983,,
0000009323-0001-0,ANDREA SORICH/KATICA SORICH,,2224 S PATTON AVENUE,SAN PEDRO,90732-4454,90292,2224 PATTON 90732-4454,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),15,5/2/1986,,
0003006691-0001-2,FARMERS POULTRY MARKET,,2310   PASADENA AVENUE   LOWER LEVEL #108,LOS ANGELES,90031-2261,90293,2310 PASADENA 90031-2261,,,,424400,Grocery & related products,1,9/9/2017,,"(34.0755, -118.2173)"
0002841445-0001-4,VERONICA BANE,,13740   SYLVAN STREET,VALLEY GLEN,91401-2308,90301,13740 SYLVAN 91401-2308,13740   SYLVAN STREET,VALLEY GLEN,91401-2308,711510,"Independent artists, writers, & performers",2,8/1/2013,,"(34.1846, -118.4326)"
0000009773-0001-1,RICHARD VALENZUELA,HAVANA HOUSE NEWS & GIFTS,425 KINGSFORD STREET,MONTEREY PARK,91754-2608,90302,425 KINGSFORD 91754-2608,,,,451110,Sporting goods stores,0,2/1/2000,,
